progress_bin,bin_center,delta_B_minus_A_true,cumulative_delta_true,delta_B_minus_A_pred,cumulative_delta_pred
0,0.05,-0.5501087126968498,-0.055010871269684986,-1.2900899333438822,-0.12900899333438823
1,0.15,-1.4711415762646194,-0.20212502889614692,-0.7959501670651496,-0.2086040100409032
2,0.25,1.1743342378958133,-0.08469160510656559,1.2914146937346587,-0.07946254066743733
3,0.35,-0.9821997432986809,-0.18291157943643369,-0.03174571353922406,-0.08263711202135973
4,0.45,0.29541114509350486,-0.1533704649270832,0.8710523999533031,0.004468127973970582
5,0.55,0.09948867590597921,-0.14342159733648527,1.0748728220771504,0.11195541018168563
6,0.65,-1.2442268889980728,-0.2678442862362926,-0.9636827687883356,0.015587133302852064
7,0.75,-2.7120608832469477,-0.5390503745609874,-1.4810327681993396,-0.1325161435170819
8,0.85,-1.4494203968562909,-0.6839924142466165,-0.7695006687210784,-0.20946621038918975
9,0.95,-1.7032974481649008,-0.8543221590631065,-0.5720027400095402,-0.2666664843901438
