progress_bin,bin_center,version_A_true,version_B_true,sd_A_true,sd_B_true,n_A_true,n_B_true,delta_B_minus_A_true,se_delta_true,delta_ci_low_true,delta_ci_high_true,version_A_pred,version_B_pred,sd_A_pred,sd_B_pred,n_A_pred,n_B_pred,delta_B_minus_A_pred,se_delta_pred,delta_ci_low_pred,delta_ci_high_pred
0,0.05,6.701353712426146,6.151244999729296,1.4942948512097725,1.9171851002690035,9,7,-0.5501087126968498,0.8793107699071415,-2.273557821714847,1.1733403963211475,6.38087180419784,5.090781870853958,1.0718559684001903,1.1694041858946151,9,7,-1.2900899333438822,0.5683404114746556,-2.404037139834207,-0.17614272685355714
1,0.15,6.94275512152405,5.471613545259431,2.1501614062512804,3.2784327868341285,9,7,-1.4711415762646194,1.4314797114509472,-4.276841810708476,1.3345586581792372,5.820902197705532,5.0249520306403825,1.4392746438727666,2.9831480125762098,9,7,-0.7959501670651496,1.2253482115262213,-3.1976326616565434,1.605732327526244
2,0.25,4.678308216825906,5.852642454721719,1.0907915977830356,1.9370565031728764,9,7,1.1743342378958133,0.8174532192519376,-0.4278740718379843,2.776542547629611,4.393425257327905,5.684839951062564,1.5369606266852476,2.387330983279663,9,7,1.2914146937346587,1.0376245673118103,-0.7423294581964894,3.3251588456658068
3,0.35,5.978013914558928,4.995814171260247,2.4550597236499625,0.809601931357379,9,7,-0.9821997432986809,0.8736924499033007,-2.69463694510915,0.7302374585117886,4.753900704087403,4.722154990548179,1.333917044464881,0.8468059160166452,9,7,-0.03174571353922406,0.5478538952666145,-1.1055393482617886,1.0420479211833404
4,0.45,5.112451027233078,5.407862172326583,1.148404001412976,1.1235114262398587,9,7,0.29541114509350486,0.5717187061868944,-0.825157519032808,1.4159798092198177,4.452271363031199,5.3233237629845025,1.1165628552801838,1.5574154344032756,9,7,0.8710523999533031,0.6964407675037679,-0.493971504354082,2.2360763042606884
5,0.55,5.48608236384704,5.585571039753019,0.8604770483471236,1.918185590567306,9,7,0.09948867590597921,0.7796811405023276,-1.4286863594785828,1.6276637112905412,4.5929309249555,5.66780374703265,1.3850723936919431,2.2179188174850855,9,7,1.0748728220771504,0.9570246026838937,-0.8008953991832812,2.950641043337582
6,0.65,6.359892127534345,5.115665238536272,2.4589815281616727,0.9250827536797431,9,7,-1.2442268889980728,0.8911214087315699,-2.9908248501119497,0.5023710721158041,5.792041653047794,4.828358884259458,2.0609879745976514,1.2235633909594579,9,7,-0.9636827687883356,0.8281521442661843,-2.586860971550057,0.6594954339733856
7,0.75,7.620110748567415,4.908049865320467,3.4804798369973216,1.1473648144439679,9,7,-2.7120608832469477,1.2385615916465658,-5.1396416028742165,-0.284480163619679,6.829758822182079,5.348726053982739,3.0207864010273076,1.1450782779775273,9,7,-1.4810327681993396,1.0960020545737637,-3.6291967951639164,0.6671312587652372
8,0.85,5.751853076109748,4.3024326792534575,0.5845469846102203,0.7983846505217205,9,7,-1.4494203968562909,0.3592016874367449,-2.153455704232311,-0.7453850894802708,5.595039177429739,4.825538508708661,1.124547176428692,1.0454906966218447,9,7,-0.7695006687210784,0.5446668070554356,-1.837047610549732,0.29804627310757525
9,0.95,7.454144233746695,5.750846785581794,3.2612412235601798,1.610979003603161,9,7,-1.7032974481649008,1.245991288780666,-4.145440374175006,0.7388454778452043,6.5684496986382435,5.996446958628703,2.30292515575573,1.4058142858487872,9,7,-0.5720027400095402,0.933597532060338,-2.4018539028478028,1.2578484228287223
