progress_bin,bin_center,delta_B_minus_A_true,delta_ci_low_true,delta_ci_high_true,delta_B_minus_A_pred,delta_ci_low_pred,delta_ci_high_pred
0,0.05,-0.5501087126968498,-2.273557821714847,1.1733403963211475,-1.2900899333438822,-2.404037139834207,-0.17614272685355714
1,0.15,-1.4711415762646194,-4.276841810708476,1.3345586581792372,-0.7959501670651496,-3.1976326616565434,1.605732327526244
2,0.25,1.1743342378958133,-0.4278740718379843,2.776542547629611,1.2914146937346587,-0.7423294581964894,3.3251588456658068
3,0.35,-0.9821997432986809,-2.69463694510915,0.7302374585117886,-0.03174571353922406,-1.1055393482617886,1.0420479211833404
4,0.45,0.29541114509350486,-0.825157519032808,1.4159798092198177,0.8710523999533031,-0.493971504354082,2.2360763042606884
5,0.55,0.09948867590597921,-1.4286863594785828,1.6276637112905412,1.0748728220771504,-0.8008953991832812,2.950641043337582
6,0.65,-1.2442268889980728,-2.9908248501119497,0.5023710721158041,-0.9636827687883356,-2.586860971550057,0.6594954339733856
7,0.75,-2.7120608832469477,-5.1396416028742165,-0.284480163619679,-1.4810327681993396,-3.6291967951639164,0.6671312587652372
8,0.85,-1.4494203968562909,-2.153455704232311,-0.7453850894802708,-0.7695006687210784,-1.837047610549732,0.29804627310757525
9,0.95,-1.7032974481649008,-4.145440374175006,0.7388454778452043,-0.5720027400095402,-2.4018539028478028,1.2578484228287223
