session_id,test_version,progress_bin,bin_center,session_bin_pred
23a477dd-d8b8-42c6-adbe-47f39ed77952,1,0,0.05,6.293079217274983
23a477dd-d8b8-42c6-adbe-47f39ed77952,1,1,0.15,7.119001944859822
23a477dd-d8b8-42c6-adbe-47f39ed77952,1,2,0.25,3.8853888511657715
23a477dd-d8b8-42c6-adbe-47f39ed77952,1,3,0.35,5.575490792592366
23a477dd-d8b8-42c6-adbe-47f39ed77952,1,4,0.45,5.1937938531239825
23a477dd-d8b8-42c6-adbe-47f39ed77952,1,5,0.55,4.445922454198201
23a477dd-d8b8-42c6-adbe-47f39ed77952,1,6,0.65,4.939115444819133
23a477dd-d8b8-42c6-adbe-47f39ed77952,1,7,0.75,4.743966023127238
23a477dd-d8b8-42c6-adbe-47f39ed77952,1,8,0.85,4.370621840159099
23a477dd-d8b8-42c6-adbe-47f39ed77952,1,9,0.95,5.589445432027181
2a298ece-1693-424d-9d70-7988e3c23aa6,1,0,0.05,7.019535779953004
2a298ece-1693-424d-9d70-7988e3c23aa6,1,1,0.15,5.926609516143799
2a298ece-1693-424d-9d70-7988e3c23aa6,1,2,0.25,3.055844485759735
2a298ece-1693-424d-9d70-7988e3c23aa6,1,3,0.35,6.125890254974365
2a298ece-1693-424d-9d70-7988e3c23aa6,1,4,0.45,3.9350589513778687
2a298ece-1693-424d-9d70-7988e3c23aa6,1,5,0.55,1.7150464057922363
2a298ece-1693-424d-9d70-7988e3c23aa6,1,6,0.65,5.52351611852646
2a298ece-1693-424d-9d70-7988e3c23aa6,1,7,0.75,6.374875545501709
2a298ece-1693-424d-9d70-7988e3c23aa6,1,8,0.85,5.329447507858276
2a298ece-1693-424d-9d70-7988e3c23aa6,1,9,0.95,6.394982099533081
3e4a23a8-c0e7-4ce7-ae53-eeaf9f4c0fd5,1,0,0.05,4.729696287049188
3e4a23a8-c0e7-4ce7-ae53-eeaf9f4c0fd5,1,1,0.15,3.991016600281
3e4a23a8-c0e7-4ce7-ae53-eeaf9f4c0fd5,1,2,0.25,2.4152115517192416
3e4a23a8-c0e7-4ce7-ae53-eeaf9f4c0fd5,1,3,0.35,3.0661069452762604
3e4a23a8-c0e7-4ce7-ae53-eeaf9f4c0fd5,1,4,0.45,4.489166706800461
3e4a23a8-c0e7-4ce7-ae53-eeaf9f4c0fd5,1,5,0.55,3.992553234100342
3e4a23a8-c0e7-4ce7-ae53-eeaf9f4c0fd5,1,6,0.65,3.5213099122047424
3e4a23a8-c0e7-4ce7-ae53-eeaf9f4c0fd5,1,7,0.75,4.897227419747247
3e4a23a8-c0e7-4ce7-ae53-eeaf9f4c0fd5,1,8,0.85,4.416850909590721
3e4a23a8-c0e7-4ce7-ae53-eeaf9f4c0fd5,1,9,0.95,4.503793292575413
74500da8-b16d-48c9-a573-2b507d395bbb,1,0,0.05,6.165804147720337
74500da8-b16d-48c9-a573-2b507d395bbb,1,1,0.15,5.821650981903076
74500da8-b16d-48c9-a573-2b507d395bbb,1,2,0.25,2.796227216720581
74500da8-b16d-48c9-a573-2b507d395bbb,1,3,0.35,3.9448686838150024
74500da8-b16d-48c9-a573-2b507d395bbb,1,4,0.45,2.0462467670440674
74500da8-b16d-48c9-a573-2b507d395bbb,1,5,0.55,3.520533800125122
74500da8-b16d-48c9-a573-2b507d395bbb,1,6,0.65,9.831654071807861
74500da8-b16d-48c9-a573-2b507d395bbb,1,7,0.75,14.521471977233888
74500da8-b16d-48c9-a573-2b507d395bbb,1,8,0.85,7.313223838806152
74500da8-b16d-48c9-a573-2b507d395bbb,1,9,0.95,9.047206401824951
84a32360-b241-415e-9626-55dddd442162,1,0,0.05,8.55724318822225
84a32360-b241-415e-9626-55dddd442162,1,1,0.15,4.123449881871541
84a32360-b241-415e-9626-55dddd442162,1,2,0.25,4.572893301645915
84a32360-b241-415e-9626-55dddd442162,1,3,0.35,2.939732074737549
84a32360-b241-415e-9626-55dddd442162,1,4,0.45,4.128398338953654
84a32360-b241-415e-9626-55dddd442162,1,5,0.55,6.013990481694539
84a32360-b241-415e-9626-55dddd442162,1,6,0.65,3.51624858379364
84a32360-b241-415e-9626-55dddd442162,1,7,0.75,7.836752573649089
84a32360-b241-415e-9626-55dddd442162,1,8,0.85,4.282135168711345
84a32360-b241-415e-9626-55dddd442162,1,9,0.95,3.292680104573568
99ea5a4e-5011-47ee-823c-56fdacec63f5,1,0,0.05,5.546542406082153
99ea5a4e-5011-47ee-823c-56fdacec63f5,1,1,0.15,4.233910441398621
99ea5a4e-5011-47ee-823c-56fdacec63f5,1,2,0.25,6.490420341491699
99ea5a4e-5011-47ee-823c-56fdacec63f5,1,3,0.35,3.788853645324707
99ea5a4e-5011-47ee-823c-56fdacec63f5,1,4,0.45,3.9869439601898193
99ea5a4e-5011-47ee-823c-56fdacec63f5,1,5,0.55,4.9013261795043945
99ea5a4e-5011-47ee-823c-56fdacec63f5,1,6,0.65,8.118017435073853
99ea5a4e-5011-47ee-823c-56fdacec63f5,1,7,0.75,5.7450079917907715
99ea5a4e-5011-47ee-823c-56fdacec63f5,1,8,0.85,7.0685014724731445
99ea5a4e-5011-47ee-823c-56fdacec63f5,1,9,0.95,10.816354990005493
ad87efc0-28f6-4acc-8ec2-a5f449e974bc,1,0,0.05,6.538748477186475
ad87efc0-28f6-4acc-8ec2-a5f449e974bc,1,1,0.15,7.41960460799081
ad87efc0-28f6-4acc-8ec2-a5f449e974bc,1,2,0.25,6.378757987703596
ad87efc0-28f6-4acc-8ec2-a5f449e974bc,1,3,0.35,6.103917803083148
ad87efc0-28f6-4acc-8ec2-a5f449e974bc,1,4,0.45,5.343578907159658
ad87efc0-28f6-4acc-8ec2-a5f449e974bc,1,5,0.55,5.830670356750488
ad87efc0-28f6-4acc-8ec2-a5f449e974bc,1,6,0.65,5.682957036154611
ad87efc0-28f6-4acc-8ec2-a5f449e974bc,1,7,0.75,5.957434705325535
ad87efc0-28f6-4acc-8ec2-a5f449e974bc,1,8,0.85,5.6537739889962335
ad87efc0-28f6-4acc-8ec2-a5f449e974bc,1,9,0.95,6.515104276793344
c9a0db8e-8359-4a36-8e49-5080627736e3,1,0,0.05,6.802464144570487
c9a0db8e-8359-4a36-8e49-5080627736e3,1,1,0.15,6.056887626647949
c9a0db8e-8359-4a36-8e49-5080627736e3,1,2,0.25,5.792595182146345
c9a0db8e-8359-4a36-8e49-5080627736e3,1,3,0.35,6.180649201075236
c9a0db8e-8359-4a36-8e49-5080627736e3,1,4,0.45,5.187417473111834
c9a0db8e-8359-4a36-8e49-5080627736e3,1,5,0.55,5.899358340672085
c9a0db8e-8359-4a36-8e49-5080627736e3,1,6,0.65,6.180644273757935
c9a0db8e-8359-4a36-8e49-5080627736e3,1,7,0.75,5.590476104191372
c9a0db8e-8359-4a36-8e49-5080627736e3,1,8,0.85,6.104611601148333
c9a0db8e-8359-4a36-8e49-5080627736e3,1,9,0.95,5.420496055058071
f59e9a00-0a45-4497-8048-818cd5f48267,1,0,0.05,5.77473258972168
f59e9a00-0a45-4497-8048-818cd5f48267,1,1,0.15,7.695988178253174
f59e9a00-0a45-4497-8048-818cd5f48267,1,2,0.25,4.153488397598267
f59e9a00-0a45-4497-8048-818cd5f48267,1,3,0.35,5.059596935908
f59e9a00-0a45-4497-8048-818cd5f48267,1,4,0.45,5.75983730951945
f59e9a00-0a45-4497-8048-818cd5f48267,1,5,0.55,5.016977071762085
f59e9a00-0a45-4497-8048-818cd5f48267,1,6,0.65,4.814912001291911
f59e9a00-0a45-4497-8048-818cd5f48267,1,7,0.75,5.800617059071858
f59e9a00-0a45-4497-8048-818cd5f48267,1,8,0.85,5.816186269124349
f59e9a00-0a45-4497-8048-818cd5f48267,1,9,0.95,7.535984635353088
359314b3-5a7c-4dd0-b813-6d8344c62062,2,0,0.05,4.858255672454834
359314b3-5a7c-4dd0-b813-6d8344c62062,2,1,0.15,4.775790548324585
359314b3-5a7c-4dd0-b813-6d8344c62062,2,2,0.25,6.103329753875732
359314b3-5a7c-4dd0-b813-6d8344c62062,2,3,0.35,3.960122376680374
359314b3-5a7c-4dd0-b813-6d8344c62062,2,4,0.45,5.264544105529785
359314b3-5a7c-4dd0-b813-6d8344c62062,2,5,0.55,5.069806289672852
359314b3-5a7c-4dd0-b813-6d8344c62062,2,6,0.65,4.44087016582489
359314b3-5a7c-4dd0-b813-6d8344c62062,2,7,0.75,6.5491172790527346
359314b3-5a7c-4dd0-b813-6d8344c62062,2,8,0.85,5.473718738555908
359314b3-5a7c-4dd0-b813-6d8344c62062,2,9,0.95,8.008846473693847
396f53e6-e4aa-4d49-861d-5cab0e380592,2,0,0.05,4.547742503029959
396f53e6-e4aa-4d49-861d-5cab0e380592,2,1,0.15,3.8484956423441568
396f53e6-e4aa-4d49-861d-5cab0e380592,2,2,0.25,3.648144381386893
396f53e6-e4aa-4d49-861d-5cab0e380592,2,3,0.35,3.9992798566818237
396f53e6-e4aa-4d49-861d-5cab0e380592,2,4,0.45,4.453974445660909
396f53e6-e4aa-4d49-861d-5cab0e380592,2,5,0.55,3.943655933652605
396f53e6-e4aa-4d49-861d-5cab0e380592,2,6,0.65,6.788992722829183
396f53e6-e4aa-4d49-861d-5cab0e380592,2,7,0.75,5.332865067890713
396f53e6-e4aa-4d49-861d-5cab0e380592,2,8,0.85,4.574014663696289
396f53e6-e4aa-4d49-861d-5cab0e380592,2,9,0.95,6.257000241960798
52c3627d-635c-44b0-8eca-f1a6c372019d,2,0,0.05,4.302818179130554
52c3627d-635c-44b0-8eca-f1a6c372019d,2,1,0.15,11.499939680099487
52c3627d-635c-44b0-8eca-f1a6c372019d,2,2,0.25,10.793874263763428
52c3627d-635c-44b0-8eca-f1a6c372019d,2,3,0.35,5.50601851940155
52c3627d-635c-44b0-8eca-f1a6c372019d,2,4,0.45,8.578279316425323
52c3627d-635c-44b0-8eca-f1a6c372019d,2,5,0.55,9.760311603546143
52c3627d-635c-44b0-8eca-f1a6c372019d,2,6,0.65,5.968645691871643
52c3627d-635c-44b0-8eca-f1a6c372019d,2,7,0.75,6.1316832304000854
52c3627d-635c-44b0-8eca-f1a6c372019d,2,8,0.85,6.554865062236786
