test_version,progress_bin,bin_center,curve_pred,curve_sd,n_sessions
1,0,0.05,6.38087180419784,1.0718559684001903,9
1,1,0.15,5.820902197705532,1.4392746438727666,9
1,2,0.25,4.393425257327905,1.5369606266852476,9
1,3,0.35,4.753900704087403,1.333917044464881,9
1,4,0.45,4.452271363031199,1.1165628552801838,9
1,5,0.55,4.5929309249555,1.3850723936919431,9
1,6,0.65,5.792041653047794,2.0609879745976514,9
1,7,0.75,6.829758822182079,3.0207864010273076,9
1,8,0.85,5.595039177429739,1.124547176428692,9
1,9,0.95,6.5684496986382435,2.30292515575573,9
2,0,0.05,5.090781870853958,1.1694041858946151,7
2,1,0.15,5.0249520306403825,2.9831480125762098,7
2,2,0.25,5.684839951062564,2.387330983279663,7
2,3,0.35,4.722154990548179,0.8468059160166452,7
2,4,0.45,5.3233237629845025,1.5574154344032756,7
2,5,0.55,5.66780374703265,2.2179188174850855,7
2,6,0.65,4.828358884259458,1.2235633909594579,7
2,7,0.75,5.348726053982739,1.1450782779775273,7
2,8,0.85,4.825538508708661,1.0454906966218447,7
2,9,0.95,5.996446958628703,1.4058142858487872,7
