session_id,test_version,progress_bin,bin_center,session_bin_true
23a477dd-d8b8-42c6-adbe-47f39ed77952,1,0,0.05,7.194530093594672
23a477dd-d8b8-42c6-adbe-47f39ed77952,1,1,0.15,8.077812315207188
23a477dd-d8b8-42c6-adbe-47f39ed77952,1,2,0.25,4.7911650765074105
23a477dd-d8b8-42c6-adbe-47f39ed77952,1,3,0.35,6.220607697720044
23a477dd-d8b8-42c6-adbe-47f39ed77952,1,4,0.45,6.278439985419706
23a477dd-d8b8-42c6-adbe-47f39ed77952,1,5,0.55,5.394671667198639
23a477dd-d8b8-42c6-adbe-47f39ed77952,1,6,0.65,4.497657063010744
23a477dd-d8b8-42c6-adbe-47f39ed77952,1,7,0.75,6.149296605171787
23a477dd-d8b8-42c6-adbe-47f39ed77952,1,8,0.85,5.435748921768501
23a477dd-d8b8-42c6-adbe-47f39ed77952,1,9,0.95,5.266414226969272
2a298ece-1693-424d-9d70-7988e3c23aa6,1,0,0.05,6.276821836865768
2a298ece-1693-424d-9d70-7988e3c23aa6,1,1,0.15,5.879703703703704
2a298ece-1693-424d-9d70-7988e3c23aa6,1,2,0.25,3.5521842661996494
2a298ece-1693-424d-9d70-7988e3c23aa6,1,3,0.35,11.87461224489796
2a298ece-1693-424d-9d70-7988e3c23aa6,1,4,0.45,6.223257175269428
2a298ece-1693-424d-9d70-7988e3c23aa6,1,5,0.55,6.6294931880108985
2a298ece-1693-424d-9d70-7988e3c23aa6,1,6,0.65,9.805079048213171
2a298ece-1693-424d-9d70-7988e3c23aa6,1,7,0.75,5.665927710843374
2a298ece-1693-424d-9d70-7988e3c23aa6,1,8,0.85,5.130832842854304
2a298ece-1693-424d-9d70-7988e3c23aa6,1,9,0.95,11.711680873180875
3e4a23a8-c0e7-4ce7-ae53-eeaf9f4c0fd5,1,0,0.05,6.61019567205654
3e4a23a8-c0e7-4ce7-ae53-eeaf9f4c0fd5,1,1,0.15,6.5377142794198555
3e4a23a8-c0e7-4ce7-ae53-eeaf9f4c0fd5,1,2,0.25,4.405576320205764
3e4a23a8-c0e7-4ce7-ae53-eeaf9f4c0fd5,1,3,0.35,4.673364396413832
3e4a23a8-c0e7-4ce7-ae53-eeaf9f4c0fd5,1,4,0.45,6.728017273879824
3e4a23a8-c0e7-4ce7-ae53-eeaf9f4c0fd5,1,5,0.55,5.067219047976835
3e4a23a8-c0e7-4ce7-ae53-eeaf9f4c0fd5,1,6,0.65,4.543876726287181
3e4a23a8-c0e7-4ce7-ae53-eeaf9f4c0fd5,1,7,0.75,7.896245957330594
3e4a23a8-c0e7-4ce7-ae53-eeaf9f4c0fd5,1,8,0.85,6.554277826857471
3e4a23a8-c0e7-4ce7-ae53-eeaf9f4c0fd5,1,9,0.95,5.113553340814715
74500da8-b16d-48c9-a573-2b507d395bbb,1,0,0.05,6.903108552182422
74500da8-b16d-48c9-a573-2b507d395bbb,1,1,0.15,8.390452316076294
74500da8-b16d-48c9-a573-2b507d395bbb,1,2,0.25,2.8235241635687727
74500da8-b16d-48c9-a573-2b507d395bbb,1,3,0.35,4.641744947516841
74500da8-b16d-48c9-a573-2b507d395bbb,1,4,0.45,3.483288343558282
74500da8-b16d-48c9-a573-2b507d395bbb,1,5,0.55,5.708645161290323
74500da8-b16d-48c9-a573-2b507d395bbb,1,6,0.65,10.222757249242276
74500da8-b16d-48c9-a573-2b507d395bbb,1,7,0.75,16.08990291262136
74500da8-b16d-48c9-a573-2b507d395bbb,1,8,0.85,6.432186046511627
74500da8-b16d-48c9-a573-2b507d395bbb,1,9,0.95,9.003229121078558
84a32360-b241-415e-9626-55dddd442162,1,0,0.05,9.860522506513155
84a32360-b241-415e-9626-55dddd442162,1,1,0.15,5.204883464722763
84a32360-b241-415e-9626-55dddd442162,1,2,0.25,5.86379411764706
84a32360-b241-415e-9626-55dddd442162,1,3,0.35,6.007513227513227
84a32360-b241-415e-9626-55dddd442162,1,4,0.45,4.754298975542185
84a32360-b241-415e-9626-55dddd442162,1,5,0.55,6.958443489932885
84a32360-b241-415e-9626-55dddd442162,1,6,0.65,3.8479129447418936
84a32360-b241-415e-9626-55dddd442162,1,7,0.75,9.428172330206174
84a32360-b241-415e-9626-55dddd442162,1,8,0.85,4.87306838756043
84a32360-b241-415e-9626-55dddd442162,1,9,0.95,4.097910584321064
99ea5a4e-5011-47ee-823c-56fdacec63f5,1,0,0.05,4.314147707979626
99ea5a4e-5011-47ee-823c-56fdacec63f5,1,1,0.15,5.004989861751152
99ea5a4e-5011-47ee-823c-56fdacec63f5,1,2,0.25,5.183698113207548
99ea5a4e-5011-47ee-823c-56fdacec63f5,1,3,0.35,3.7332751423149912
99ea5a4e-5011-47ee-823c-56fdacec63f5,1,4,0.45,3.532271559633027
99ea5a4e-5011-47ee-823c-56fdacec63f5,1,5,0.55,4.81153200051372
99ea5a4e-5011-47ee-823c-56fdacec63f5,1,6,0.65,8.477017487590683
99ea5a4e-5011-47ee-823c-56fdacec63f5,1,7,0.75,7.069701418831768
99ea5a4e-5011-47ee-823c-56fdacec63f5,1,8,0.85,6.122537992038921
99ea5a4e-5011-47ee-823c-56fdacec63f5,1,9,0.95,12.921577299412917
ad87efc0-28f6-4acc-8ec2-a5f449e974bc,1,0,0.05,6.723868750934154
ad87efc0-28f6-4acc-8ec2-a5f449e974bc,1,1,0.15,6.460398752072633
ad87efc0-28f6-4acc-8ec2-a5f449e974bc,1,2,0.25,6.249510844329129
ad87efc0-28f6-4acc-8ec2-a5f449e974bc,1,3,0.35,6.779500183801946
ad87efc0-28f6-4acc-8ec2-a5f449e974bc,1,4,0.45,5.1063146237631365
ad87efc0-28f6-4acc-8ec2-a5f449e974bc,1,5,0.55,5.653901379260806
ad87efc0-28f6-4acc-8ec2-a5f449e974bc,1,6,0.65,5.605269790611183
ad87efc0-28f6-4acc-8ec2-a5f449e974bc,1,7,0.75,5.666935449172641
ad87efc0-28f6-4acc-8ec2-a5f449e974bc,1,8,0.85,5.717675946197403
ad87efc0-28f6-4acc-8ec2-a5f449e974bc,1,9,0.95,6.461608895183981
c9a0db8e-8359-4a36-8e49-5080627736e3,1,0,0.05,7.001005550582832
c9a0db8e-8359-4a36-8e49-5080627736e3,1,1,0.15,5.249727701796172
c9a0db8e-8359-4a36-8e49-5080627736e3,1,2,0.25,5.159085650635895
c9a0db8e-8359-4a36-8e49-5080627736e3,1,3,0.35,5.947529834056298
c9a0db8e-8359-4a36-8e49-5080627736e3,1,4,0.45,4.861064554219481
c9a0db8e-8359-4a36-8e49-5080627736e3,1,5,0.55,4.766456976041334
c9a0db8e-8359-4a36-8e49-5080627736e3,1,6,0.65,5.554544807082832
c9a0db8e-8359-4a36-8e49-5080627736e3,1,7,0.75,4.589759236116683
c9a0db8e-8359-4a36-8e49-5080627736e3,1,8,0.85,6.089579836441523
c9a0db8e-8359-4a36-8e49-5080627736e3,1,9,0.95,4.101622759424254
f59e9a00-0a45-4497-8048-818cd5f48267,1,0,0.05,5.4279827411261445
f59e9a00-0a45-4497-8048-818cd5f48267,1,1,0.15,11.679113698966693
f59e9a00-0a45-4497-8048-818cd5f48267,1,2,0.25,4.076235399131926
f59e9a00-0a45-4497-8048-818cd5f48267,1,3,0.35,3.9239775567952138
f59e9a00-0a45-4497-8048-818cd5f48267,1,4,0.45,5.045106753812636
f59e9a00-0a45-4497-8048-818cd5f48267,1,5,0.55,4.384378364397919
f59e9a00-0a45-4497-8048-818cd5f48267,1,6,0.65,4.684914031029141
f59e9a00-0a45-4497-8048-818cd5f48267,1,7,0.75,6.025055116812349
f59e9a00-0a45-4497-8048-818cd5f48267,1,8,0.85,5.410769884757556
f59e9a00-0a45-4497-8048-818cd5f48267,1,9,0.95,8.409701003334623
359314b3-5a7c-4dd0-b813-6d8344c62062,2,0,0.05,6.121499863917047
359314b3-5a7c-4dd0-b813-6d8344c62062,2,1,0.15,4.755163834018655
359314b3-5a7c-4dd0-b813-6d8344c62062,2,2,0.25,6.256757874332935
359314b3-5a7c-4dd0-b813-6d8344c62062,2,3,0.35,4.62094053484649
359314b3-5a7c-4dd0-b813-6d8344c62062,2,4,0.45,5.8365687125266135
359314b3-5a7c-4dd0-b813-6d8344c62062,2,5,0.55,5.657485707057708
359314b3-5a7c-4dd0-b813-6d8344c62062,2,6,0.65,4.349174726800716
359314b3-5a7c-4dd0-b813-6d8344c62062,2,7,0.75,5.7793230254032695
359314b3-5a7c-4dd0-b813-6d8344c62062,2,8,0.85,3.9677577701776494
359314b3-5a7c-4dd0-b813-6d8344c62062,2,9,0.95,7.29490085246739
396f53e6-e4aa-4d49-861d-5cab0e380592,2,0,0.05,4.900646243861492
396f53e6-e4aa-4d49-861d-5cab0e380592,2,1,0.15,4.928298134871664
396f53e6-e4aa-4d49-861d-5cab0e380592,2,2,0.25,3.843321627258524
396f53e6-e4aa-4d49-861d-5cab0e380592,2,3,0.35,3.9948393964689592
396f53e6-e4aa-4d49-861d-5cab0e380592,2,4,0.45,4.724553351149095
396f53e6-e4aa-4d49-861d-5cab0e380592,2,5,0.55,3.7667190053624564
396f53e6-e4aa-4d49-861d-5cab0e380592,2,6,0.65,6.133821170590745
396f53e6-e4aa-4d49-861d-5cab0e380592,2,7,0.75,5.073309081332396
396f53e6-e4aa-4d49-861d-5cab0e380592,2,8,0.85,3.916521867477016
396f53e6-e4aa-4d49-861d-5cab0e380592,2,9,0.95,5.740214920339724
52c3627d-635c-44b0-8eca-f1a6c372019d,2,0,0.05,4.7083418921142375
52c3627d-635c-44b0-8eca-f1a6c372019d,2,1,0.15,12.764457413105312
52c3627d-635c-44b0-8eca-f1a6c372019d,2,2,0.25,9.608006673675945
52c3627d-635c-44b0-8eca-f1a6c372019d,2,3,0.35,5.793495096146917
52c3627d-635c-44b0-8eca-f1a6c372019d,2,4,0.45,7.653745796939489
52c3627d-635c-44b0-8eca-f1a6c372019d,2,5,0.55,8.755181867335562
52c3627d-635c-44b0-8eca-f1a6c372019d,2,6,0.65,6.241891804692553
52c3627d-635c-44b0-8eca-f1a6c372019d,2,7,0.75,3.759852944107393
52c3627d-635c-44b0-8eca-f1a6c372019d,2,8,0.85,5.681247449571238
52c3627d-635c-44b0-8eca-f1a6c372019d,2,9,0.95,7.472138292083322
957d4d90-5e33-448f-8662-9a27f6f2b66c,2,0,0.05,6.557207676561534
957d4d90-5e33-448f-8662-9a27f6f2b66c,2,1,0.15,2.9852704405207775
957d4d90-5e33-448f-8662-9a27f6f2b66c,2,2,0.25,5.175312251170658
957d4d90-5e33-448f-8662-9a27f6f2b66c,2,3,0.35,4.237488700879575
957d4d90-5e33-448f-8662-9a27f6f2b66c,2,4,0.45,4.493538242112799
957d4d90-5e33-448f-8662-9a27f6f2b66c,2,5,0.55,7.018280200934267
957d4d90-5e33-448f-8662-9a27f6f2b66c,2,6,0.65,5.320352718573241
