test_version,progress_bin,bin_center,curve_true,curve_sd,n_sessions
1,0,0.05,6.701353712426146,1.4942948512097725,9
1,1,0.15,6.94275512152405,2.1501614062512804,9
1,2,0.25,4.678308216825906,1.0907915977830356,9
1,3,0.35,5.978013914558928,2.4550597236499625,9
1,4,0.45,5.112451027233078,1.148404001412976,9
1,5,0.55,5.48608236384704,0.8604770483471236,9
1,6,0.65,6.359892127534345,2.4589815281616727,9
1,7,0.75,7.620110748567415,3.4804798369973216,9
1,8,0.85,5.751853076109748,0.5845469846102203,9
1,9,0.95,7.454144233746695,3.2612412235601798,9
2,0,0.05,6.151244999729296,1.9171851002690035,7
2,1,0.15,5.471613545259431,3.2784327868341285,7
2,2,0.25,5.852642454721719,1.9370565031728764,7
2,3,0.35,4.995814171260247,0.809601931357379,7
2,4,0.45,5.407862172326583,1.1235114262398587,7
2,5,0.55,5.585571039753019,1.918185590567306,7
2,6,0.65,5.115665238536272,0.9250827536797431,7
2,7,0.75,4.908049865320467,1.1473648144439679,7
2,8,0.85,4.3024326792534575,0.7983846505217205,7
2,9,0.95,5.750846785581794,1.610979003603161,7
