session_id,start_trial_id,min_trial_position,start_vr_row,start_eeg_row,end_trial_id,max_trial_position,end_vr_row,end_eeg_row,session_length_in_rows,n_trials,time_source
23a477dd-d8b8-42c6-adbe-47f39ed77952,23a477dd-d8b8-42c6-adbe-47f39ed77952__vr428__eeg429__row0,0,428,429,23a477dd-d8b8-42c6-adbe-47f39ed77952__vr457__eeg458__row29,29,457,458,30,30,trial_row extracted from trial_id
2a298ece-1693-424d-9d70-7988e3c23aa6,2a298ece-1693-424d-9d70-7988e3c23aa6__vr35__eeg33__row31,31,35,33,2a298ece-1693-424d-9d70-7988e3c23aa6__vr50__eeg48__row46,46,50,48,16,16,trial_row extracted from trial_id
359314b3-5a7c-4dd0-b813-6d8344c62062,359314b3-5a7c-4dd0-b813-6d8344c62062__vr274__eeg275__row47,47,274,275,359314b3-5a7c-4dd0-b813-6d8344c62062__vr322__eeg323__row95,95,322,323,49,48,trial_row extracted from trial_id
396f53e6-e4aa-4d49-861d-5cab0e380592,396f53e6-e4aa-4d49-861d-5cab0e380592__vr2054__eeg1229__row96,96,2054,1229,396f53e6-e4aa-4d49-861d-5cab0e380592__vr2118__eeg1295__row160,160,2118,1295,65,65,trial_row extracted from trial_id
3e4a23a8-c0e7-4ce7-ae53-eeaf9f4c0fd5,3e4a23a8-c0e7-4ce7-ae53-eeaf9f4c0fd5__vr1786__eeg1090__row161,161,1786,1090,3e4a23a8-c0e7-4ce7-ae53-eeaf9f4c0fd5__vr1870__eeg1176__row245,245,1870,1176,85,85,trial_row extracted from trial_id
52c3627d-635c-44b0-8eca-f1a6c372019d,52c3627d-635c-44b0-8eca-f1a6c372019d__vr52__eeg50__row247,247,52,50,52c3627d-635c-44b0-8eca-f1a6c372019d__vr94__eeg93__row289,289,94,93,43,41,trial_row extracted from trial_id
74500da8-b16d-48c9-a573-2b507d395bbb,74500da8-b16d-48c9-a573-2b507d395bbb__vr117__eeg116__row290,290,117,116,74500da8-b16d-48c9-a573-2b507d395bbb__vr131__eeg131__row304,304,131,131,15,14,trial_row extracted from trial_id
84a32360-b241-415e-9626-55dddd442162,84a32360-b241-415e-9626-55dddd442162__vr1__eeg1__row305,305,1,1,84a32360-b241-415e-9626-55dddd442162__vr30__eeg29__row333,333,30,29,29,28,trial_row extracted from trial_id
957d4d90-5e33-448f-8662-9a27f6f2b66c,957d4d90-5e33-448f-8662-9a27f6f2b66c__vr2121__eeg1297__row335,335,2121,1297,957d4d90-5e33-448f-8662-9a27f6f2b66c__vr2152__eeg1329__row366,366,2152,1329,32,32,trial_row extracted from trial_id
99ea5a4e-5011-47ee-823c-56fdacec63f5,99ea5a4e-5011-47ee-823c-56fdacec63f5__vr95__eeg94__row367,367,95,94,99ea5a4e-5011-47ee-823c-56fdacec63f5__vr114__eeg113__row386,386,114,113,20,19,trial_row extracted from trial_id
ad87efc0-28f6-4acc-8ec2-a5f449e974bc,ad87efc0-28f6-4acc-8ec2-a5f449e974bc__vr132__eeg132__row387,387,132,132,ad87efc0-28f6-4acc-8ec2-a5f449e974bc__vr271__eeg272__row525,525,271,272,139,139,trial_row extracted from trial_id
c488b456-7651-4424-8cc9-8f81ed92e0e2,c488b456-7651-4424-8cc9-8f81ed92e0e2__vr2155__eeg1332__row527,527,2155,1332,c488b456-7651-4424-8cc9-8f81ed92e0e2__vr2292__eeg1469__row663,663,2292,1469,137,129,trial_row extracted from trial_id
c9a0db8e-8359-4a36-8e49-5080627736e3,c9a0db8e-8359-4a36-8e49-5080627736e3__vr359__eeg360__row664,664,359,360,c9a0db8e-8359-4a36-8e49-5080627736e3__vr426__eeg427__row731,731,426,427,68,68,trial_row extracted from trial_id
dfb19734-6102-44df-8e11-9947e134eeb2,dfb19734-6102-44df-8e11-9947e134eeb2__vr460__eeg461__row732,732,460,461,dfb19734-6102-44df-8e11-9947e134eeb2__vr505__eeg505__row776,776,505,505,45,45,trial_row extracted from trial_id
f43c63f7-4814-4cda-8fb8-a6a19cfbc342,f43c63f7-4814-4cda-8fb8-a6a19cfbc342__vr1987__eeg1191__row777,777,1987,1191,f43c63f7-4814-4cda-8fb8-a6a19cfbc342__vr2024__eeg1228__row814,814,2024,1228,38,38,trial_row extracted from trial_id
f59e9a00-0a45-4497-8048-818cd5f48267,f59e9a00-0a45-4497-8048-818cd5f48267__vr323__eeg324__row815,815,323,324,f59e9a00-0a45-4497-8048-818cd5f48267__vr356__eeg357__row848,848,356,357,34,33,trial_row extracted from trial_id
