session_id,test_version,session_auc_predicted,session_mean,n_trials,first_vr_id,last_vr_id
23a477dd-d8b8-42c6-adbe-47f39ed77952,1,149.86465215682983,5.2155825853347775,30,428,457
2a298ece-1693-424d-9d70-7988e3c23aa6,1,78.05842018127441,5.16619947552681,16,35,50
3e4a23a8-c0e7-4ce7-ae53-eeaf9f4c0fd5,1,332.9338558614254,4.008493466587628,85,1786,1870
74500da8-b16d-48c9-a573-2b507d395bbb,1,83.68455219268799,6.714172942297799,14,117,131
84a32360-b241-415e-9626-55dddd442162,1,134.44581377506256,5.0476639441081455,28,1,30
99ea5a4e-5011-47ee-823c-56fdacec63f5,1,107.05550765991211,6.179200724551552,19,95,114
ad87efc0-28f6-4acc-8ec2-a5f449e974bc,1,847.1934286355972,6.148202123401834,139,132,271
c9a0db8e-8359-4a36-8e49-5080627736e3,1,395.4422438144684,5.913939802085652,68,359,426
f59e9a00-0a45-4497-8048-818cd5f48267,1,182.69400429725647,5.776141079989347,33,323,356
359314b3-5a7c-4dd0-b813-6d8344c62062,2,257.3401634693146,5.502521134912968,48,274,322
396f53e6-e4aa-4d49-861d-5cab0e380592,2,299.40816593170166,4.739913859734169,65,2054,2118
52c3627d-635c-44b0-8eca-f1a6c372019d,2,306.3268504142761,7.631278840506949,41,52,94
957d4d90-5e33-448f-8662-9a27f6f2b66c,2,144.72362661361694,4.797767743468285,32,2121,2152
c488b456-7651-4424-8cc9-8f81ed92e0e2,2,681.7216249704361,5.332795048868934,129,2155,2292
dfb19734-6102-44df-8e11-9947e134eeb2,2,208.0498319864273,4.778322251637777,45,460,505
f43c63f7-4814-4cda-8fb8-a6a19cfbc342,2,148.5033255815506,4.111431438671915,38,1987,2024
