progress_bin,bin_center,version_A_true,version_B_true,delta_B_minus_A_true,version_A_pred,version_B_pred,delta_B_minus_A_pred
0,0.05,6.701353712426146,6.151244999729296,-0.5501087126968498,6.38087180419784,5.090781870853958,-1.2900899333438822
1,0.15,6.94275512152405,5.471613545259431,-1.4711415762646194,5.820902197705532,5.0249520306403825,-0.7959501670651496
2,0.25,4.678308216825906,5.852642454721719,1.1743342378958133,4.393425257327905,5.684839951062564,1.2914146937346587
3,0.35,5.978013914558928,4.995814171260247,-0.9821997432986809,4.753900704087403,4.722154990548179,-0.03174571353922406
4,0.45,5.112451027233078,5.407862172326583,0.29541114509350486,4.452271363031199,5.3233237629845025,0.8710523999533031
5,0.55,5.48608236384704,5.585571039753019,0.09948867590597921,4.5929309249555,5.66780374703265,1.0748728220771504
6,0.65,6.359892127534345,5.115665238536272,-1.2442268889980728,5.792041653047794,4.828358884259458,-0.9636827687883356
7,0.75,7.620110748567415,4.908049865320467,-2.7120608832469477,6.829758822182079,5.348726053982739,-1.4810327681993396
8,0.85,5.751853076109748,4.3024326792534575,-1.4494203968562909,5.595039177429739,4.825538508708661,-0.7695006687210784
9,0.95,7.454144233746695,5.750846785581794,-1.7032974481649008,6.5684496986382435,5.996446958628703,-0.5720027400095402
