test_version,progress_bin,bin_center,curve_pred,n_sessions
1,0,0.05,6.38087180419784,9
1,1,0.15,5.820902197705532,9
1,2,0.25,4.393425257327905,9
1,3,0.35,4.753900704087403,9
1,4,0.45,4.452271363031199,9
1,5,0.55,4.5929309249555,9
1,6,0.65,5.792041653047794,9
1,7,0.75,6.829758822182079,9
1,8,0.85,5.595039177429739,9
1,9,0.95,6.5684496986382435,9
2,0,0.05,5.090781870853958,7
2,1,0.15,5.0249520306403825,7
2,2,0.25,5.684839951062564,7
2,3,0.35,4.722154990548179,7
2,4,0.45,5.3233237629845025,7
2,5,0.55,5.66780374703265,7
2,6,0.65,4.828358884259458,7
2,7,0.75,5.348726053982739,7
2,8,0.85,4.825538508708661,7
2,9,0.95,5.996446958628703,7
