test_version,progress_bin,bin_center,curve_true,n_sessions
1,0,0.05,6.701353712426146,9
1,1,0.15,6.94275512152405,9
1,2,0.25,4.678308216825906,9
1,3,0.35,5.978013914558928,9
1,4,0.45,5.112451027233078,9
1,5,0.55,5.48608236384704,9
1,6,0.65,6.359892127534345,9
1,7,0.75,7.620110748567415,9
1,8,0.85,5.751853076109748,9
1,9,0.95,7.454144233746695,9
2,0,0.05,6.151244999729296,7
2,1,0.15,5.471613545259431,7
2,2,0.25,5.852642454721719,7
2,3,0.35,4.995814171260247,7
2,4,0.45,5.407862172326583,7
2,5,0.55,5.585571039753019,7
2,6,0.65,5.115665238536272,7
2,7,0.75,4.908049865320467,7
2,8,0.85,4.3024326792534575,7
2,9,0.95,5.750846785581794,7
