session_id,test_version,session_median_predicted_performance,session_mean_predicted_performance,session_median_true_performance,session_mean_true_performance,mean_abs_error,n_predicted_trials
23a477dd-d8b8-42c6-adbe-47f39ed77952,1,4.653249263763428,5.2155825853347775,5.775349140167236,5.930634347597758,1.0794412930806478,30
2a298ece-1693-424d-9d70-7988e3c23aa6,1,4.947077512741089,5.16619947552681,5.772815704345703,7.215590536594391,2.4803566634655,16
3e4a23a8-c0e7-4ce7-ae53-eeaf9f4c0fd5,1,3.615377426147461,4.008493466587628,5.282232761383057,5.8133307905758125,1.8984275891500362,85
74500da8-b16d-48c9-a573-2b507d395bbb,1,4.921845436096191,6.714172942297799,6.64198899269104,7.462119902883257,1.3441752876554214,14
84a32360-b241-415e-9626-55dddd442162,1,4.015012145042419,5.0476639441081455,5.7138471603393555,6.172647595405579,1.3138303416115897,28
99ea5a4e-5011-47ee-823c-56fdacec63f5,1,5.646876335144043,6.179200724551552,5.113263130187988,6.253117159793251,1.0324498477735018,19
ad87efc0-28f6-4acc-8ec2-a5f449e974bc,1,5.688884258270264,6.148202123401834,5.670212745666504,6.049233606393389,1.181226211486103,139
c9a0db8e-8359-4a36-8e49-5080627736e3,1,5.609254837036133,5.913939802085652,5.194742202758789,5.319714178057278,1.221777824794545,68
f59e9a00-0a45-4497-8048-818cd5f48267,1,5.7663984298706055,5.776141079989347,5.0045671463012695,5.921932285482233,1.2231021866653904,33
359314b3-5a7c-4dd0-b813-6d8344c62062,2,5.170925140380859,5.502521134912968,5.362051725387573,5.50474476069212,1.0477295219898224,48
396f53e6-e4aa-4d49-861d-5cab0e380592,2,4.2801361083984375,4.739913859734169,4.442166805267334,4.699348897200364,0.7274376502403846,65
52c3627d-635c-44b0-8eca-f1a6c372019d,2,7.449304580688477,7.631278840506949,6.500377178192139,7.249404261751873,1.4997539578414545,41
957d4d90-5e33-448f-8662-9a27f6f2b66c,2,4.549803256988525,4.797767743468285,4.539228916168213,5.19893616437912,0.716105744242668,32
c488b456-7651-4424-8cc9-8f81ed92e0e2,2,5.044199466705322,5.332795048868934,3.826413869857788,4.178360648857531,1.3671418973641802,129
dfb19734-6102-44df-8e11-9947e134eeb2,2,4.270406246185303,4.778322251637777,4.855199813842773,5.352329195870293,0.8080452018313937,45
f43c63f7-4814-4cda-8fb8-a6a19cfbc342,2,3.6404823064804077,4.111431438671915,4.7284464836120605,5.474446735884014,1.3775715169153715,38
