best_accuracy,best_sensors,best_bands,best_depth,best_n_estimators
0.6272189349112426,"['AF3', 'F7', 'F3']","['theta', 'alpha', 'beta_l']",6,100
0.6449704142011834,"['AF3', 'F7', 'F3']","['theta', 'alpha', 'beta_l']",6,120
0.6568047337278107,"['AF3', 'F7', 'F3']","['theta', 'alpha', 'beta_l']",7,120
0.6686390532544378,"['AF3', 'F7', 'F3']","['theta', 'alpha', 'beta_h']",9,100
0.6745562130177515,"['AF3', 'F7', 'F3']","['theta', 'alpha', 'beta_h']",13,100
0.6863905325443787,"['AF3', 'F7', 'F3']","['theta', 'alpha', 'beta_h']",13,120
0.7041420118343196,"['AF3', 'F7', 'F3']","['theta', 'beta_l', 'beta_h']",6,100
0.7100591715976331,"['AF3', 'F7', 'T7']","['theta', 'beta_l', 'beta_h']",9,140
0.7159763313609467,"['AF3', 'F7', 'T7']","['theta', 'beta_l', 'beta_h']",9,160
0.7218934911242604,"['AF3', 'F7', 'T7']","['theta', 'beta_l', 'beta_h']",12,140
0.727810650887574,"['AF3', 'F7', 'T7']","['alpha', 'beta_l', 'beta_h']",12,120
0.7337278106508875,"['AF3', 'F7', 'T7']","['alpha', 'beta_l', 'beta_h']",12,160
0.7455621301775148,"['AF3', 'F7', 'FC6']","['theta', 'beta_l', 'beta_h']",14,120
0.7514792899408284,"['AF3', 'F7', 'FC6']","['theta', 'beta_l', 'beta_h']",15,120
0.757396449704142,"['F7', 'O2', 'F8']","['theta', 'alpha', 'beta_l', 'beta_h']",14,100
0.7692307692307693,"['F7', 'O2', 'F8']","['theta', 'alpha', 'beta_l', 'beta_h']",14,120
0.7041420118343196,"['AF3', 'F7', 'F3', 'F4']","['theta', 'alpha', 'beta_l', 'beta_h']",8,100
0.7218934911242604,"['AF3', 'F7', 'F3', 'F8']","['theta', 'alpha', 'beta_l', 'beta_h']",12,140
0.727810650887574,"['AF3', 'F7', 'FC6', 'F8']","['theta', 'alpha', 'beta_l', 'beta_h']",14,200
0.6272189349112426,"['AF3', 'F7', 'F3']","['theta', 'alpha', 'beta_l']",6,100
0.6449704142011834,"['AF3', 'F7', 'F3']","['theta', 'alpha', 'beta_l']",6,120
0.6568047337278107,"['AF3', 'F7', 'F3']","['theta', 'alpha', 'beta_l']",7,120
0.6686390532544378,"['AF3', 'F7', 'F3']","['theta', 'alpha', 'beta_h']",9,100
0.6745562130177515,"['AF3', 'F7', 'F3']","['theta', 'alpha', 'beta_h']",13,100
0.6863905325443787,"['AF3', 'F7', 'F3']","['theta', 'alpha', 'beta_h']",13,120
0.7041420118343196,"['AF3', 'F7', 'F3']","['theta', 'beta_l', 'beta_h']",6,100
0.7100591715976331,"['AF3', 'F7', 'O2']","['theta', 'alpha', 'beta_l', 'beta_h']",14,200
0.7159763313609467,"['AF3', 'F7', 'O2']","['theta', 'alpha', 'beta_l', 'beta_h']",17,180
0.7218934911242604,"['AF3', 'F7', 'FC6']","['theta', 'beta_l', 'beta_h']",8,180
0.727810650887574,"['AF3', 'F7', 'FC6']","['theta', 'beta_l', 'beta_h']",12,100
0.7337278106508875,"['AF3', 'F7', 'FC6']","['theta', 'beta_l', 'beta_h']",12,180
0.7455621301775148,"['AF3', 'F7', 'FC6']","['theta', 'beta_l', 'beta_h']",14,120
0.7514792899408284,"['AF3', 'F7', 'FC6']","['theta', 'beta_l', 'beta_h']",15,120
0.757396449704142,"['AF3', 'F7', 'FC6']","['theta', 'beta_l', 'beta_h']",16,120
0.7692307692307693,"['F7', 'O2', 'F8']","['theta', 'alpha', 'beta_l', 'beta_h']",14,120
0.6272189349112426,"['AF3', 'F7', 'F3']","['theta', 'alpha', 'beta_l']",6,100
0.6449704142011834,"['AF3', 'F7', 'F3']","['theta', 'alpha', 'beta_l']",6,120
0.6568047337278107,"['AF3', 'F7', 'F3']","['theta', 'alpha', 'beta_l']",7,120
0.6686390532544378,"['AF3', 'F7', 'F3']","['theta', 'alpha', 'beta_h']",9,100
0.6745562130177515,"['AF3', 'F7', 'F3']","['theta', 'alpha', 'beta_h']",13,100
0.6863905325443787,"['AF3', 'F7', 'F3']","['theta', 'alpha', 'beta_h']",13,120
0.7041420118343196,"['AF3', 'F7', 'F3']","['theta', 'beta_l', 'beta_h']",6,100
0.7159763313609467,"['AF3', 'F7', 'FC5']","['beta_l', 'beta_h', 'delta']",8,100
0.727810650887574,"['AF3', 'F7', 'FC6']","['theta', 'beta_l', 'beta_h']",12,100
0.7455621301775148,"['AF3', 'F7', 'FC6']","['theta', 'beta_l', 'beta_h']",14,120
0.7514792899408284,"['F7', 'F3', 'F8']","['alpha', 'beta_h', 'delta']",6,100
0.757396449704142,"['F7', 'F3', 'F8']","['alpha', 'beta_h', 'delta']",8,100
0.7692307692307693,"['F7', 'O2', 'F8']","['theta', 'alpha', 'beta_l', 'beta_h']",14,120
0.7751479289940828,"['AF3', 'FC5', 'F8', 'AF4']","['beta_l', 'beta_h', 'delta']",11,120
