session_id,session_start,session_end,n_trials,first_round,last_round,active_trial_time_seconds,mean_trial_time_seconds,min_trial_time_seconds,max_trial_time_seconds,wall_clock_elapsed_seconds,wall_clock_elapsed_minutes,active_trial_time_minutes,round_span,missing_rounds_estimate
99ea5a4e-5011-47ee-823c-56fdacec63f5,2025-03-30 21:52:05.376,2025-03-30 21:53:42.006,19,95,113,96.50999999999999,5.079473684210526,2.755,11.078,96.63,1.6104999999999998,1.6084999999999998,19,0
2a298ece-1693-424d-9d70-7988e3c23aa6,2025-03-30 17:14:15.120,2025-03-30 17:15:57.389,16,35,50,102.218,6.388625,2.85,15.005,102.269,1.7044833333333334,1.7036333333333333,16,0
74500da8-b16d-48c9-a573-2b507d395bbb,2025-03-30 21:54:06.721,2025-03-30 21:55:58.466,15,117,131,106.644,7.1096,2.877,15.001,111.745,1.8624166666666668,1.7774,15,0
957d4d90-5e33-448f-8662-9a27f6f2b66c,2025-04-02 22:32:41.549,2025-04-02 22:35:03.437,31,2121,2151,136.715,4.410161290322581,2.236,11.305,141.888,2.3648000000000002,2.278583333333333,31,0
84a32360-b241-415e-9626-55dddd442162,2025-03-30 17:01:40.237,2025-03-30 17:04:21.320,29,1,30,147.231,5.076931034482758,2.083,11.621,161.083,2.6847166666666666,2.45385,30,1
23a477dd-d8b8-42c6-adbe-47f39ed77952,2025-03-30 22:27:35.986,2025-03-30 22:30:22.313,31,428,458,166.252,5.362967741935484,3.087,15.008,166.327,2.772116666666667,2.770866666666667,31,0
f43c63f7-4814-4cda-8fb8-a6a19cfbc342,2025-04-02 21:48:17.562,2025-04-02 21:51:16.989,38,1987,2024,179.255,4.717236842105263,2.642,10.161,179.427,2.99045,2.9875833333333333,38,0
f59e9a00-0a45-4497-8048-818cd5f48267,2025-03-30 22:15:55.243,2025-03-30 22:19:10.822,35,323,357,195.489,5.5854,2.401,15.003,195.579,3.25965,3.25815,35,0
dfb19734-6102-44df-8e11-9947e134eeb2,2025-03-30 22:33:28.913,2025-03-30 22:36:59.523,44,460,504,200.593,4.558931818181818,2.278,8.629,210.61,3.510166666666667,3.3432166666666663,45,1
359314b3-5a7c-4dd0-b813-6d8344c62062,2025-03-30 22:09:04.665,2025-03-30 22:13:21.123,49,274,322,246.159,5.02365306122449,1.947,13.986,256.458,4.2743,4.10265,49,0
396f53e6-e4aa-4d49-861d-5cab0e380592,2025-04-02 22:19:12.419,2025-04-02 22:24:19.552,65,2054,2118,296.724,4.564984615384615,2.334,12.361,307.133,5.118883333333333,4.9454,65,0
c9a0db8e-8359-4a36-8e49-5080627736e3,2025-03-30 22:21:36.865,2025-03-30 22:27:11.679,68,359,426,319.296,4.6955294117647055,2.487,11.108,334.814,5.580233333333334,5.3216,68,0
52c3627d-635c-44b0-8eca-f1a6c372019d,2025-03-30 17:23:36.013,2025-03-30 17:29:51.473,44,51,94,370.129,8.412022727272728,2.676,59.796,375.46,6.257666666666666,6.168816666666667,44,0
3e4a23a8-c0e7-4ce7-ae53-eeaf9f4c0fd5,2025-04-01 22:25:16.966,2025-04-01 22:32:41.770,85,1785,1870,425.137,5.001611764705882,2.11,13.81,444.804,7.413399999999999,7.085616666666667,86,1
c488b456-7651-4424-8cc9-8f81ed92e0e2,2025-04-02 22:38:40.794,2025-04-02 22:49:02.516,137,2155,2292,611.736,4.465226277372262,2.03,11.19,621.722,10.362033333333333,10.1956,138,1
ad87efc0-28f6-4acc-8ec2-a5f449e974bc,2025-03-30 21:56:02.547,2025-03-30 22:08:50.946,140,132,272,752.217,5.372978571428571,0.005,15.003,768.399,12.80665,12.53695,141,1
